Estado,2020-04-14
AGUASCALIENTES,65
BAJA CALIFORNIA,412
BAJA CALIFORNIA SUR,164
CAMPECHE,33
CHIAPAS,45
CHIHUAHUA,69
COAHUILA,194
COLIMA,7
CIUDAD DE MÉXICO,1556
DURANGO,15
GUANAJUATO,90
GUERRERO,88
HIDALGO,64
JALISCO,165
MÉXICO,602
MICHOACÁN,67
MORELOS,53
NAYARIT,25
NUEVO LEÓN,136
OAXACA,46
PUEBLA,276
QUERETARO,65
QUINTANA ROO,245
SAN LUIS POTOSÍ,55
SINALOA,261
SONORA,73
TABASCO,195
TAMAULIPAS,55
TLAXCALA,51
VERACRUZ,94
YUCATÁN,116
ZACATECAS,17
