Estado,2020-04-13
AGUASCALIENTES,55
BAJA CALIFORNIA,368
BAJA CALIFORNIA SUR,153
CAMPECHE,29
CHIAPAS,43
CHIHUAHUA,67
COAHUILA,176
COLIMA,7
CIUDAD DE MÉXICO,1437
DURANGO,16
GUANAJUATO,88
GUERRERO,77
HIDALGO,58
JALISCO,159
MÉXICO,558
MICHOACÁN,62
MORELOS,49
NAYARIT,25
NUEVO LEÓN,132
OAXACA,44
PUEBLA,269
QUERETARO,61
QUINTANA ROO,239
SAN LUIS POTOSÍ,55
SINALOA,245
SONORA,72
TABASCO,156
TAMAULIPAS,53
TLAXCALA,49
VERACRUZ,82
YUCATÁN,114
ZACATECAS,16
