Estado,2020-03-28
AGUASCALIENTES,19
BAJA CALIFORNIA,20
BAJA CALIFORNIA SUR,9
CAMPECHE,3
CHIAPAS,6
CHIHUAHUA,6
COAHUILA,15
COLIMA,2
CIUDAD DE MÉXICO,177
DURANGO,7
GUANAJUATO,37
GUERRERO,10
HIDALGO,12
JALISCO,82
MÉXICO,85
MICHOACÁN,17
MORELOS,4
NAYARIT,5
NUEVO LEÓN,64
OAXACA,12
PUEBLA,52
QUERETARO,25
QUINTANA ROO,33
SAN LUIS POTOSÍ,20
SINALOA,14
SONORA,10
TABASCO,27
TAMAULIPAS,6
TLAXCALA,4
VERACRUZ,23
YUCATÁN,38
ZACATECAS,4
