Estado,2020-04-18
AGUASCALIENTES,77
BAJA CALIFORNIA,610
BAJA CALIFORNIA SUR,173
CAMPECHE,56
CHIAPAS,62
CHIHUAHUA,131
COAHUILA,232
COLIMA,10
CIUDAD DE MÉXICO,2299
DURANGO,19
GUANAJUATO,116
GUERRERO,110
HIDALGO,75
JALISCO,196
MÉXICO,786
MICHOACÁN,107
MORELOS,77
NAYARIT,33
NUEVO LEÓN,172
OAXACA,62
PUEBLA,330
QUERETARO,79
QUINTANA ROO,315
SAN LUIS POTOSÍ,59
SINALOA,413
SONORA,108
TABASCO,278
TAMAULIPAS,117
TLAXCALA,72
VERACRUZ,124
YUCATÁN,172
ZACATECAS,27
