Estado,2020-03-25
AGUASCALIENTES,12
BAJA CALIFORNIA,14
BAJA CALIFORNIA SUR,5
CAMPECHE,2
CHIAPAS,4
CHIHUAHUA,6
COAHUILA,12
COLIMA,2
CIUDAD DE MÉXICO,82
DURANGO,5
GUANAJUATO,19
GUERRERO,7
HIDALGO,7
JALISCO,46
MÉXICO,26
MICHOACÁN,10
MORELOS,2
NAYARIT,4
NUEVO LEÓN,52
OAXACA,7
PUEBLA,34
QUERETARO,18
QUINTANA ROO,22
SAN LUIS POTOSÍ,17
SINALOA,4
SONORA,4
TABASCO,6
TAMAULIPAS,6
TLAXCALA,1
VERACRUZ,7
YUCATÁN,29
ZACATECAS,3
