Estado,2020-04-12
AGUASCALIENTES,55
BAJA CALIFORNIA,335
BAJA CALIFORNIA SUR,120
CAMPECHE,19
CHIAPAS,43
CHIHUAHUA,61
COAHUILA,157
COLIMA,7
CIUDAD DE MÉXICO,1328
DURANGO,16
GUANAJUATO,82
GUERRERO,70
HIDALGO,58
JALISCO,156
MÉXICO,523
MICHOACÁN,61
MORELOS,44
NAYARIT,22
NUEVO LEÓN,124
OAXACA,43
PUEBLA,256
QUERETARO,61
QUINTANA ROO,223
SAN LUIS POTOSÍ,53
SINALOA,229
SONORA,69
TABASCO,153
TAMAULIPAS,53
TLAXCALA,40
VERACRUZ,78
YUCATÁN,107
ZACATECAS,15
