Estado,2020-04-04
AGUASCALIENTES,49
BAJA CALIFORNIA,54
BAJA CALIFORNIA SUR,27
CAMPECHE,8
CHIAPAS,19
CHIHUAHUA,13
COAHUILA,72
COLIMA,4
CIUDAD DE MÉXICO,469
DURANGO,10
GUANAJUATO,53
GUERRERO,25
HIDALGO,32
JALISCO,120
MÉXICO,180
MICHOACÁN,29
MORELOS,14
NAYARIT,9
NUEVO LEÓN,88
OAXACA,22
PUEBLA,125
QUERETARO,36
QUINTANA ROO,75
SAN LUIS POTOSÍ,35
SINALOA,74
SONORA,27
TABASCO,83
TAMAULIPAS,20
TLAXCALA,9
VERACRUZ,37
YUCATÁN,62
ZACATECAS,10
