Estado,2020-04-11
AGUASCALIENTES,55
BAJA CALIFORNIA,278
BAJA CALIFORNIA SUR,102
CAMPECHE,18
CHIAPAS,39
CHIHUAHUA,54
COAHUILA,156
COLIMA,7
CIUDAD DE MÉXICO,1117
DURANGO,16
GUANAJUATO,81
GUERRERO,56
HIDALGO,53
JALISCO,150
MÉXICO,498
MICHOACÁN,50
MORELOS,40
NAYARIT,21
NUEVO LEÓN,119
OAXACA,43
PUEBLA,243
QUERETARO,57
QUINTANA ROO,216
SAN LUIS POTOSÍ,51
SINALOA,214
SONORA,65
TABASCO,143
TAMAULIPAS,49
TLAXCALA,38
VERACRUZ,73
YUCATÁN,103
ZACATECAS,14
