Estado,2020-04-07
AGUASCALIENTES,53
BAJA CALIFORNIA,136
BAJA CALIFORNIA SUR,56
CAMPECHE,14
CHIAPAS,28
CHIHUAHUA,22
COAHUILA,109
COLIMA,5
CIUDAD DE MÉXICO,723
DURANGO,15
GUANAJUATO,61
GUERRERO,37
HIDALGO,41
JALISCO,135
MÉXICO,320
MICHOACÁN,34
MORELOS,24
NAYARIT,10
NUEVO LEÓN,93
OAXACA,35
PUEBLA,179
QUERETARO,45
QUINTANA ROO,135
SAN LUIS POTOSÍ,41
SINALOA,111
SONORA,35
TABASCO,108
TAMAULIPAS,32
TLAXCALA,18
VERACRUZ,46
YUCATÁN,74
ZACATECAS,10
