Estado,2020-04-02
AGUASCALIENTES,47
BAJA CALIFORNIA,40
BAJA CALIFORNIA SUR,19
CAMPECHE,5
CHIAPAS,15
CHIHUAHUA,11
COAHUILA,62
COLIMA,3
CIUDAD DE MÉXICO,327
DURANGO,8
GUANAJUATO,50
GUERRERO,22
HIDALGO,26
JALISCO,104
MÉXICO,171
MICHOACÁN,24
MORELOS,9
NAYARIT,8
NUEVO LEÓN,84
OAXACA,22
PUEBLA,100
QUERETARO,32
QUINTANA ROO,56
SAN LUIS POTOSÍ,33
SINALOA,42
SONORA,21
TABASCO,62
TAMAULIPAS,13
TLAXCALA,5
VERACRUZ,29
YUCATÁN,53
ZACATECAS,7
