Estado,2020-04-16
AGUASCALIENTES,71
BAJA CALIFORNIA,505
BAJA CALIFORNIA SUR,166
CAMPECHE,45
CHIAPAS,54
CHIHUAHUA,108
COAHUILA,214
COLIMA,7
CIUDAD DE MÉXICO,1828
DURANGO,17
GUANAJUATO,96
GUERRERO,100
HIDALGO,67
JALISCO,178
MÉXICO,695
MICHOACÁN,84
MORELOS,58
NAYARIT,29
NUEVO LEÓN,159
OAXACA,53
PUEBLA,305
QUERETARO,76
QUINTANA ROO,276
SAN LUIS POTOSÍ,56
SINALOA,327
SONORA,89
TABASCO,233
TAMAULIPAS,78
TLAXCALA,62
VERACRUZ,112
YUCATÁN,131
ZACATECAS,18
