Estado,2020-04-15
AGUASCALIENTES,65
BAJA CALIFORNIA,464
BAJA CALIFORNIA SUR,165
CAMPECHE,43
CHIAPAS,48
CHIHUAHUA,83
COAHUILA,195
COLIMA,7
CIUDAD DE MÉXICO,1686
DURANGO,16
GUANAJUATO,91
GUERRERO,97
HIDALGO,64
JALISCO,176
MÉXICO,659
MICHOACÁN,70
MORELOS,56
NAYARIT,27
NUEVO LEÓN,150
OAXACA,50
PUEBLA,291
QUERETARO,69
QUINTANA ROO,269
SAN LUIS POTOSÍ,56
SINALOA,292
SONORA,78
TABASCO,210
TAMAULIPAS,60
TLAXCALA,58
VERACRUZ,106
YUCATÁN,128
ZACATECAS,18
