Estado,2020-04-17
AGUASCALIENTES,77
BAJA CALIFORNIA,536
BAJA CALIFORNIA SUR,169
CAMPECHE,47
CHIAPAS,58
CHIHUAHUA,115
COAHUILA,217
COLIMA,9
CIUDAD DE MÉXICO,2080
DURANGO,19
GUANAJUATO,113
GUERRERO,110
HIDALGO,70
JALISCO,190
MÉXICO,754
MICHOACÁN,99
MORELOS,73
NAYARIT,31
NUEVO LEÓN,159
OAXACA,56
PUEBLA,314
QUERETARO,78
QUINTANA ROO,280
SAN LUIS POTOSÍ,58
SINALOA,374
SONORA,97
TABASCO,250
TAMAULIPAS,91
TLAXCALA,67
VERACRUZ,121
YUCATÁN,140
ZACATECAS,23
