Estado,2020-03-24
AGUASCALIENTES,6
BAJA CALIFORNIA,13
BAJA CALIFORNIA SUR,2
CAMPECHE,2
CHIAPAS,2
CHIHUAHUA,6
COAHUILA,12
COLIMA,2
CIUDAD DE MÉXICO,66
DURANGO,5
GUANAJUATO,12
GUERRERO,6
HIDALGO,7
JALISCO,46
MÉXICO,22
MICHOACÁN,8
MORELOS,2
NAYARIT,1
NUEVO LEÓN,52
OAXACA,4
PUEBLA,22
QUERETARO,16
QUINTANA ROO,22
SAN LUIS POTOSÍ,16
SINALOA,4
SONORA,4
TABASCO,6
TAMAULIPAS,5
TLAXCALA,0
VERACRUZ,7
YUCATÁN,24
ZACATECAS,3
