Estado,2020-04-10
AGUASCALIENTES,53
BAJA CALIFORNIA,258
BAJA CALIFORNIA SUR,85
CAMPECHE,15
CHIAPAS,38
CHIHUAHUA,54
COAHUILA,143
COLIMA,7
CIUDAD DE MÉXICO,1040
DURANGO,16
GUANAJUATO,78
GUERRERO,54
HIDALGO,51
JALISCO,144
MÉXICO,470
MICHOACÁN,46
MORELOS,35
NAYARIT,19
NUEVO LEÓN,110
OAXACA,41
PUEBLA,214
QUERETARO,55
QUINTANA ROO,163
SAN LUIS POTOSÍ,48
SINALOA,171
SONORA,55
TABASCO,134
TAMAULIPAS,48
TLAXCALA,34
VERACRUZ,63
YUCATÁN,88
ZACATECAS,14
