Estado,2020-04-06
AGUASCALIENTES,49
BAJA CALIFORNIA,111
BAJA CALIFORNIA SUR,54
CAMPECHE,9
CHIAPAS,26
CHIHUAHUA,22
COAHUILA,102
COLIMA,4
CIUDAD DE MÉXICO,0
DURANGO,12
GUANAJUATO,58
GUERRERO,32
HIDALGO,35
JALISCO,126
MÉXICO,0
MICHOACÁN,0
MORELOS,17
NAYARIT,10
NUEVO LEÓN,0
OAXACA,27
PUEBLA,156
QUERETARO,40
QUINTANA ROO,115
SAN LUIS POTOSÍ,0
SINALOA,97
SONORA,30
TABASCO,107
TAMAULIPAS,31
TLAXCALA,14
VERACRUZ,41
YUCATÁN,0
ZACATECAS,9
