Estado,2020-04-05
AGUASCALIENTES,49
BAJA CALIFORNIA,69
BAJA CALIFORNIA SUR,28
CAMPECHE,8
CHIAPAS,25
CHIHUAHUA,15
COAHUILA,82
COLIMA,4
CIUDAD DE MÉXICO,560
DURANGO,12
GUANAJUATO,53
GUERRERO,30
HIDALGO,34
JALISCO,123
MÉXICO,204
MICHOACÁN,30
MORELOS,15
NAYARIT,9
NUEVO LEÓN,91
OAXACA,25
PUEBLA,147
QUERETARO,38
QUINTANA ROO,86
SAN LUIS POTOSÍ,37
SINALOA,90
SONORA,28
TABASCO,97
TAMAULIPAS,26
TLAXCALA,11
VERACRUZ,40
YUCATÁN,67
ZACATECAS,10
